entry_z,exit_z,total_pnl
1.5,0.0,-58.443033125749075
1.5,0.5,-58.443033125749075
2.0,0.0,-58.443033125749075
2.0,0.5,-58.443033125749075
2.5,0.0,-58.443033125749075
2.5,0.5,-58.443033125749075
