Pair,Trade Type,Entry Date,Entry Price Asset 1,Entry Price Asset 2,Shares Asset 1,Shares Asset 2,Exit Date,Exit Price Asset 1,Exit Price Asset 2,Exit Reason,Trade P&L
GOOGL-GOOG,Short,2023-05-11,115.87506103515625,116.20923614501953,-0.8629984666818015,0.8430269039850323,2023-05-25,122.74386596679688,123.6152114868164,Profit Target,0.31566833944225525
GOOGL-GOOG,Short,2023-05-31,122.13749694824219,122.64102172851562,-0.818749380809537,0.7988152021325065,2023-06-20,122.36611938476562,123.11815643310547,Profit Target,0.19395797714863766
GOOGL-GOOG,Long,2023-06-30,118.98638916015625,120.25518798828125,0.8404322604108906,-0.8146635018469903,2023-07-03,119.1852035522461,119.84761047363281,Profit Target,0.4991285543038736
GOOGL-GOOG,Short,2023-07-13,123.79753875732422,124.09237670898438,-0.8077705017708497,0.7894724491541503,2023-07-19,121.30249786376953,122.05448913574219,Profit Target,0.4065643409771418
GOOGL-GOOG,Short,2023-07-31,131.9287872314453,132.32345581054688,-0.7579846832410276,0.7403639208309793,2023-08-11,128.78759765625,129.40081787109375,Profit Target,0.21715790113154698
GOOGL-GOOG,Long,2023-10-16,138.270751953125,139.6598663330078,0.7232187471859622,-0.7014721919338345,2023-12-12,131.72998046875,132.8502960205078,Profit Target,0.04631565467758758
GOOGL-GOOG,Short,2024-01-29,152.59481811523438,153.925048828125,-0.6553302480067404,0.6364624426476116,2024-01-31,139.26478576660156,140.9621124267578,Profit Target,0.48515123906761204
GOOGL-GOOG,Short,2024-02-02,141.53118896484375,142.69180297851562,-0.7065580437174165,0.6865672065027575,2024-02-29,137.6345672607422,138.9540252685547,Profit Target,0.1869538075006707
GOOGL-GOOG,Short,2024-03-18,146.7996063232422,147.60263061523438,-0.6812007368725989,0.663724705673978,2024-03-28,150.03021240234375,151.36029052734375,Profit Target,0.2933604775586196
GOOGL-GOOG,Long,2024-04-24,158.1813507080078,160.14805603027344,0.6321857763409373,-0.6117308882181007,2024-04-26,170.92491149902344,172.66366577148438,Profit Target,0.40011280843406105
GOOGL-GOOG,Short,2024-05-15,171.4815673828125,172.8525390625,-0.583153055609538,0.5667692999660147,2024-06-05,174.36428833007812,176.023681640625,Profit Target,0.11623873022875797
GOOGL-GOOG,Short,2024-06-21,178.76405334472656,179.39874267578125,-0.5593965796197357,0.5460880667310658,2024-07-11,184.67543029785156,186.40513610839844,Profit Target,0.5193037959540967
GOOGL-GOOG,Long,2024-08-06,157.52691650390625,159.77294921875,0.6348121465166892,-0.6131670789131584,2024-09-03,156.6013946533203,157.85218811035156,Profit Target,0.5902149655081127
GOOGL-GOOG,Short,2024-12-10,184.7333526611328,186.09405517578125,-0.5413207661717473,0.5264408498662835,2025-01-27,191.35769653320312,193.317138671875,Profit Target,0.21663131412449932
GOOGL-GOOG,Long,2025-03-14,165.28990173339844,167.41876220703125,0.6049976371895563,-0.585164477805982,2025-04-25,161.76417541503906,163.65328979492188,Profit Target,0.07036460574035841
MA-V,Short,2023-05-02,371.64898681640625,223.17440795898438,-0.26907109543500457,0.832490975059844,2023-06-01,366.5589599609375,223.1366729736328,Profit Target,1.338165067045377
MA-V,Short,2023-07-26,398.2967529296875,233.57923889160156,-0.25106908169460596,0.7954075086972916,2023-07-31,390.2499694824219,234.19989013671875,Profit Target,2.5139691913488704
MA-V,Short,2023-09-14,409.1151123046875,238.36129760742188,-0.2444299831327796,0.7794498618486851,2023-10-09,391.2715759277344,231.39305114746094,Profit Target,-1.06990344489635
MA-V,Long,2023-10-26,361.386474609375,228.27410888671875,0.2767120714965624,-0.8138929175817181,2023-12-18,420.7007141113281,255.55494689941406,Profit Target,-5.790714762398149
MA-V,Long,2024-01-25,433.6443786621094,269.6397399902344,0.23060370414237244,-0.6890330056575013,2024-01-26,435.3619079589844,265.0206604003906,Profit Target,3.578766910993677
MA-V,Long,2024-01-30,441.9737854003906,274.1303405761719,0.22625776302413164,-0.6777457763328213,2024-01-31,445.984619140625,270.2826843261719,Profit Target,3.515215042145223
MA-V,Short,2024-02-01,457.59014892578125,274.0314025878906,-0.218536173112021,0.6779904738493951,2024-02-20,448.48638916015625,272.6595458984375,Profit Target,1.05939505317509
MA-V,Short,2024-03-27,474.49713134765625,276.4945068359375,-0.2107494300671159,0.6719507111236037,2024-04-18,452.04034423828125,268.9137878417969,Profit Target,-0.36111443450166636
MA-V,Long,2024-05-07,450.409912109375,273.95770263671875,0.22201998071418233,-0.6781728664754713,2024-06-17,445.4888916015625,269.2129211425781,Profit Target,2.12521718844249
MA-V,Short,2024-07-24,430.55731201171875,252.33560180664062,-0.23225711702064472,0.7362840564707382,2024-09-04,481.0254821777344,279.0240478515625,Profit Target,7.928685610789406
MA-V,Short,2024-09-25,487.3078308105469,268.2208251953125,-0.20520909716075855,0.6926780586663606,2024-10-17,512.1915283203125,288.87237548828125,Profit Target,9.198514665383883
MA-V,Long,2024-11-06,519.5390014648438,305.7934265136719,0.19247833120910907,-0.6075692424404411,2025-04-17,517.3300170898438,329.0634765625,Profit Target,-14.56334830588465
HD-LOW,Long,2023-05-04,269.93096923828125,195.0339813232422,0.3704650869894262,-0.6983111220046334,2023-06-06,281.62652587890625,199.22698974609375,Profit Target,1.404770991922549
